# 1-d slice in y-direction, file: flame_wave_1000Hz_25cm_plt00000
# time =                    0
#                       y                  density                     Temp                   X(He4)                  X(Ni56)
                     3192   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3208   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3224   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3240   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3256   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3272   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3288   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3304   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3320   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3336   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3352   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3368   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3384   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3400   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3416   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3432   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3448   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3464   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3480   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3496   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3512   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3528   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3544   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3560   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3576   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3592   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3608   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3624   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3640   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3656   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3672   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3688   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3704   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3720   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3736   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3752   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3768   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3784   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3800   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3816   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3832   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3848   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3864   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3880   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3896   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3912   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
                     3928   9.9999997473787516e-05                  8000000                        1    1.000000082740371e-10
