          time          X(h1)         X(he4)         X(c12)         X(c14)         X(n13)         X(n14)         X(o16)         X(o18)         X(f18)        X(ne20)        X(ne21)        X(mg24)        X(al27)        X(si28)         X(p31)         X(s32)        X(cl35)        X(ar36)         X(k39)        X(ca40)        X(sc43)        X(ti44)         X(v47)        X(cr48)        X(mn51)        X(fe52)        X(co55)        X(ni56)       dXdt(h1)      dXdt(he4)      dXdt(c12)      dXdt(c14)      dXdt(n13)      dXdt(n14)      dXdt(o16)      dXdt(o18)      dXdt(f18)     dXdt(ne20)     dXdt(ne21)     dXdt(mg24)     dXdt(al27)     dXdt(si28)      dXdt(p31)      dXdt(s32)     dXdt(cl35)     dXdt(ar36)      dXdt(k39)     dXdt(ca40)     dXdt(sc43)     dXdt(ti44)      dXdt(v47)     dXdt(cr48)     dXdt(mn51)     dXdt(fe52)     dXdt(co55)     dXdt(ni56)          de/dt
      0.099743      0.0101099      0.0507188    2.81622e-06    1.43234e-10    4.20838e-10    2.84619e-08    6.86807e-06    4.42604e-11    1.97785e-10    9.41715e-08    5.05629e-09    2.18666e-05     2.0823e-06       0.015867    0.000253545      0.0189923    0.000664678      0.0118391     0.00138614      0.0171089    3.63618e-05    0.000445786    0.000330147     0.00261244      0.0223337       0.025837       0.526521       0.294909      -0.767041         5.8305   -0.000330068   -3.82597e-10   -5.29115e-05   -1.17265e-06    -0.00102294    4.91931e-10   -1.07832e-05   -1.41878e-05    1.43394e-05      0.0817919     -0.0955355        16.8967        -20.399        2.99213       -5.54389       0.126647       -1.49595       -1.58032      -0.154887     -0.0238219     -0.0206789     -0.0827774     -0.0952811      -0.376234        5.34538      -0.636311   -1.78029e+18
     0.0997588      0.0101115      0.0507527    2.80894e-06    1.43225e-10    4.19799e-10    2.86554e-08    6.85215e-06    4.42727e-11    1.99222e-10    9.39859e-08    5.09501e-09    2.18189e-05    2.07905e-06      0.0158338    0.000253178      0.0189582    0.000663912      0.0118217     0.00138493      0.0170886    3.63461e-05    0.000445446    0.000330075      0.0026111       0.022333      0.0258298       0.526617       0.294895       -17.0564        70.7066    0.000658873    8.10779e-09    -0.00103983   -1.80564e-05    -0.00109691   -1.04243e-08   -0.000216939   -5.70715e-05     0.00028018        1.68579       -1.91641        366.677       -408.152         97.489       -109.882        25.5026       -28.1404         1.8908       -3.01898      0.0991839      -0.246674       0.146362      -0.410536       0.217351        6.88781       -2.47722    2.83452e+19
     0.0997981      0.0101155      0.0508366    2.79094e-06    1.43202e-10    4.17231e-10    2.91356e-08    6.81281e-06    4.43033e-11    2.02789e-10    9.35268e-08     5.1912e-09    2.17009e-05      2.071e-06      0.0157518    0.000252268      0.0188739    0.000662011      0.0117784     0.00138193      0.0170385    3.63071e-05    0.000444605    0.000329895     0.00260778       0.022331       0.025812       0.526853       0.294861       -119.115        479.048     0.00721178    6.02018e-08    -0.00725558   -0.000125296    -0.00196173   -7.74022e-08    -0.00151278   -0.000330877     0.00195286        11.7284       -13.3117        2560.23       -2836.16        690.325       -763.785        183.753       -195.384        20.4425       -21.0159       0.813253       -1.68632        1.52517       -2.30012        4.17316        14.7511       -14.0342    2.13922e+20
     0.0997981      0.0101154      0.0508359    2.79104e-06    1.43202e-10    4.17246e-10    2.91355e-08    6.81301e-06    4.43032e-11    2.02792e-10    9.35285e-08    5.19138e-09    2.17014e-05    2.07101e-06      0.0157522     0.00025227      0.0188743    0.000662011      0.0117786     0.00138192      0.0170388    3.63068e-05    0.000444607    0.000329892      0.0026078      0.0223309      0.0258121       0.526851       0.294862        2.05508       -5.85476   -0.000493441    -2.5215e-09    4.03782e-05     4.4632e-07   -0.000950979    3.24196e-09    1.10624e-05   -6.45021e-06   -1.35756e-05      -0.187669       0.209984       -44.5462        47.0573       -13.4371        12.4697       -4.07472        3.07685       -1.57103       0.311919     -0.0328245       0.018096      -0.106254     -0.0823343      -0.458607         4.8472        0.30682   -6.27297e+18
     0.0997633       0.010112      0.0507621    2.80694e-06    1.43222e-10    4.19514e-10    2.87097e-08    6.84779e-06    4.42762e-11    1.99626e-10    9.39348e-08    5.10595e-09    2.18057e-05    2.07815e-06      0.0158247    0.000253076      0.0189488    0.000663698      0.0118168      0.0013846       0.017083    3.63417e-05    0.000445352    0.000330054     0.00261073      0.0223327      0.0258278       0.526643       0.294891        8.61062       -31.9901   -0.000988484   -4.70034e-09    0.000516226    8.86196e-06   -0.000899846    6.04332e-09    0.000107834    1.15553e-05     -0.0001391      -0.840441       0.950217       -184.843        202.323       -51.5254        54.4765       -14.2783        13.8691       -2.80384        1.50367     -0.0806949       0.116784      -0.196947       0.128499      -0.777241        5.32775      0.0315497    -1.8312e+19
     0.0997633       0.010112      0.0507621    2.80694e-06    1.43222e-10    4.19514e-10    2.87097e-08    6.84779e-06    4.42762e-11    1.99626e-10    9.39348e-08    5.10595e-09    2.18057e-05    2.07815e-06      0.0158247    0.000253076      0.0189488    0.000663698      0.0118168      0.0013846       0.017083    3.63417e-05    0.000445352    0.000330054     0.00261073      0.0223327      0.0258278       0.526643       0.294891        6.55639       -23.7997    9.99964e-05     -4.692e-09   -0.000736065    9.66496e-06   -0.000809864    6.03259e-09    9.42995e-05    1.14034e-05   -0.000124514      -0.687948        0.77655       -129.406          140.8       -49.5164        52.3916       -14.1342        13.7717       -2.76452        1.46348     -0.0802904       0.116456      -0.196612        0.12692      -0.774991        5.31365      0.0449434   -1.44743e+19
     0.0997633       0.010112      0.0507621    2.80694e-06    1.43222e-10    4.19826e-10    2.87097e-08    6.84779e-06    4.42762e-11    1.99692e-10    9.39348e-08    5.10587e-09    2.18052e-05    2.07872e-06      0.0158246    0.000253198      0.0189487    0.000663731      0.0118168      0.0013846       0.017083    3.63426e-05    0.000445352    0.000330054     0.00261073      0.0223327      0.0258278       0.526643       0.294891       -4019.98        16030.3        2.13364    1.16623e-08       -2.45537     0.00158364       0.175565   -1.49943e-08     -0.0264352   -0.000286482      0.0284657        298.217       -339.629         108535        -120451        3888.35       -4034.28        268.378       -177.216         74.314       -77.3146       0.712589      -0.526946       0.460743       -2.96795        3.63485       -22.3187        26.2991     7.5079e+21
     0.0997633       0.010112      0.0507621    2.80694e-06    1.43222e-10     4.1967e-10    2.87097e-08    6.84779e-06    4.42762e-11    1.99659e-10    9.39348e-08    5.10591e-09    2.18055e-05    2.07844e-06      0.0158246    0.000253137      0.0189488    0.000663715      0.0118168      0.0013846       0.017083    3.63422e-05    0.000445352    0.000330054     0.00261073      0.0223327      0.0258278       0.526643       0.294891       -2005.68        7999.14        1.06633    3.48095e-09       -1.22742    0.000796248      0.0873324   -4.47549e-09     -0.0131637   -0.000137463      0.0141633        148.688       -169.339        54174.8       -60124.2        1918.41        -1989.9         127.05       -81.6736        35.7551       -37.9054       0.315947      -0.205081       0.131898       -1.41972         1.4288       -8.49549        13.1653    3.74479e+21
     0.0997633       0.010112      0.0507621    2.80694e-06    1.43222e-10    4.19514e-10    2.87098e-08    6.84778e-06    4.42762e-11    1.99628e-10    9.39348e-08    5.10589e-09    2.18057e-05    2.07817e-06      0.0158247    0.000253079      0.0189488    0.000663704      0.0118168      0.0013846       0.017083     3.6342e-05    0.000445351    0.000330055     0.00261073      0.0223327      0.0258278       0.526643       0.294891       -113.391        452.253     0.00557927    1.49375e-08    -0.00697851    3.57277e-05   -0.000405595   -1.92053e-08    -0.00145348   -4.63503e-05     0.00164213        11.2219       -12.7806        2454.75       -2726.94        642.463       -716.877        162.372       -159.418         21.223        -19.515       0.483278      -0.611088         0.2125      -0.423342     -0.0580496        5.08048     -0.0469367    2.10219e+20
     0.0997633       0.010112      0.0507622    2.80692e-06    1.43222e-10    4.19511e-10    2.87103e-08    6.84774e-06    4.42762e-11    1.99627e-10    9.39345e-08    5.10595e-09    2.18055e-05    2.07814e-06      0.0158246    0.000253075      0.0189487    0.000663696      0.0118168     0.00138459       0.017083    3.63417e-05    0.000445351    0.000330055     0.00261072      0.0223327      0.0258278       0.526644       0.294891      -0.964987        6.97018   -0.000214741     2.4182e-08   -2.48285e-06   -9.02818e-05    -0.00121128   -3.10912e-08   -4.17279e-06    -0.00013522    0.000140291      0.0571065     -0.0511624        4.47623       -6.65656        12.8742       -14.2099          12.96       -19.5447       0.321704      -0.568684        0.24661      -0.616868        0.52776       -1.05142       0.968677        11.3157        -7.0523   -2.13376e+18
     0.0997637       0.010112       0.050763    2.80673e-06    1.43222e-10    4.19484e-10    2.87153e-08    6.84733e-06    4.42765e-11    1.99667e-10    9.39296e-08    5.10703e-09    2.18043e-05    2.07805e-06      0.0158237    0.000253065      0.0189478    0.000663676      0.0118163     0.00138456      0.0170825    3.63413e-05    0.000445343    0.000330053     0.00261069      0.0223327      0.0258276       0.526646       0.294891      0.0856871        3.35368    6.98803e-05    2.67169e-09   -8.22182e-07   -1.60482e-05    -0.00162559   -3.43501e-09    6.78108e-07   -6.78734e-05    2.32812e-05     0.00602261   -0.000514986       0.879645      -0.213478      -0.878957     -0.0953251       -4.08972      -0.670776       -2.66641    -0.00707403     -0.0509472     -0.0841679       0.198139      -0.213226        1.02447        6.52578       -3.10121   -4.87553e+18
     0.0997665      0.0101123       0.050769    2.80547e-06     1.4322e-10    4.19303e-10    2.87495e-08    6.84455e-06    4.42786e-11    1.99921e-10    9.38972e-08    5.11389e-09    2.17961e-05     2.0775e-06       0.015818    0.000253002      0.0189419    0.000663543      0.0118133     0.00138435      0.0170789    3.63385e-05    0.000445283     0.00033004     0.00261046      0.0223326      0.0258263       0.526663       0.294888        -0.3998        4.41546   -0.000332975   -6.15508e-10   -3.00448e-05   -8.71268e-07    -0.00103052    7.91388e-10   -6.18256e-06   -1.35818e-05    8.51989e-06      0.0454193     -0.0540176         9.0766       -11.5788       0.867378       -3.16553      -0.501395      -0.892663       -1.75818     -0.0895668     -0.0285448     -0.0164652     -0.0882147     -0.0942748      -0.370665        5.13267      -0.498024   -2.54987e+18
     0.0997784      0.0101135      0.0507945    2.80007e-06    1.43214e-10    4.18535e-10    2.88957e-08    6.83277e-06    4.42879e-11    2.01008e-10    9.37599e-08     5.1432e-09    2.17608e-05     2.0751e-06      0.0157933     0.00025273      0.0189166    0.000662977      0.0118003     0.00138346      0.0170639    3.63271e-05     0.00044503    0.000329988     0.00260946      0.0223321      0.0258209       0.526735       0.294877       -9.51178        40.5391    0.000177074    4.31168e-09   -0.000577799   -1.02862e-05    -0.00101685   -5.54357e-09    -0.00012323   -3.65316e-05    0.000159197       0.940791       -1.07114        204.466       -228.586        53.7277       -61.5902        13.8477       -15.8032       0.537964       -1.69328       0.046672      -0.140534      0.0441138      -0.276605     -0.0810639        6.28711        -1.6823     1.4588e+19
